pts,elo_i,opp_pts,elo_n
66.00,1300,68,1293.2767
68.00,1300,66,1306.7233
63.00,1300,47,1309.6521
47.00,1306.7233,63,1297.0712
33.00,1300,50,1279.6189
50.00,1300,33,1320.3811
53.00,1300,59,1294.8458
59.00,1300,53,1305.1542
51.00,1300,56,1295.3092
56.00,1300,51,1304.6908
60.00,1293.2767,71,1286.1534
71.00,1300,60,1307.1233
56.00,1295.3092,71,1277.9456
71.00,1320.3811,56,1337.7448
55.00,1294.8458,57,1288.4139
57.00,1309.6521,55,1316.084
53.00,1304.6908,49,1312.8473
49.00,1279.6189,53,1271.4624
75.00,1277.9456,81,1273.2786
81.00,1300,75,1304.667
73.00,1305.1542,65,1311.5032
65.00,1316.084,73,1309.735
63.00,1312.8473,68,1302.5988
68.00,1297.0712,63,1307.3197
73.00,1286.1534,71,1289.1691
71.00,1271.4624,73,1268.4468
54.00,1289.1691,62,1283.6519
62.00,1309.735,54,1315.2522
46.00,1288.4139,69,1275.2767
69.00,1268.4468,46,1281.584
76.00,1311.5032,66,1317.3143
66.00,1273.2786,76,1267.4674
70.00,1302.5988,69,1305.7323
69.00,1337.7448,70,1334.6112
92.00,1307.1233,68,1321.1034
68.00,1334.6112,92,1320.6311
78.00,1315.2522,68,1329.3558
68.00,1307.3197,78,1293.2161
84.00,1267.4674,71,1277.5587
71.00,1317.3143,84,1307.223
61.00,1275.2767,71,1269.8861
71.00,1329.3558,61,1334.7465
68.00,1281.584,70,1275.3634
70.00,1307.223,68,1313.4436
68.00,1304.667,65,1308.6625
65.00,1320.6311,68,1316.6356
62.00,1269.8861,64,1267.1501
64.00,1305.7323,62,1308.4683
68.00,1313.4436,85,1302.3401
85.00,1283.6519,68,1294.7554
49.00,1294.7554,53,1290.0051
53.00,1267.1501,49,1271.9004
73.00,1316.6356,65,1329.9454
65.00,1334.7465,73,1321.4366
64.00,1293.2161,62,1296.2185
62.00,1277.5587,64,1274.5563
70.00,1275.3634,59,1291.9098
59.00,1302.3401,70,1285.7937
83.00,1308.4683,74,1315.3256
74.00,1321.1034,83,1314.2461
76.00,1314.2461,78,1307.6647
78.00,1321.4366,76,1328.0181
61.00,1296.2185,57,1300.3541
57.00,1291.9098,61,1287.7742
48.00,1290.0051,54,1284.491
54.00,1274.5563,48,1280.0704
63.00,1308.6625,66,1301.0356
66.00,1315.3256,63,1322.9524
74.00,1307.6647,72,1313.9331
72.00,1284.491,74,1278.2225
54.00,1280.0704,53,1285.8223
53.00,1287.7742,54,1282.0223
72.00,1300.3541,69,1304.5542
69.00,1328.0181,72,1323.818
54.00,1329.9454,51,1333.5576
51.00,1322.9524,54,1319.3402
53.00,1271.9004,65,1257.9297
65.00,1319.3402,53,1333.3109
63.00,1301.0356,65,1294.7595
65.00,1323.818,63,1330.0941
66.00,1333.5576,58,1344.4468
58.00,1285.7937,66,1274.9045
82.00,1257.9297,83,1255.4705
83.00,1278.2225,82,1280.6818
46.00,1255.4705,54,1250.1028
54.00,1282.0223,46,1287.39
76.00,1313.9331,82,1308.5621
82.00,1304.5542,76,1309.9252
59.00,1274.9045,65,1265.9526
65.00,1333.3109,59,1342.2628
74.00,1344.4468,50,1353.6788
50.00,1280.6818,74,1271.4497
55.00,1330.0941,68,1310.8802
68.00,1287.39,55,1306.6039
60.00,1285.8223,62,1282.9152
62.00,1308.5621,60,1311.4692
71.00,1265.9526,59,1281.3928
59.00,1250.1028,71,1234.6626
62.00,1309.9252,46,1327.9469
46.00,1282.9152,62,1264.8934
66.00,1306.6039,46,1317.7588
46.00,1311.4692,66,1300.3143
66.00,1294.7595,54,1300.6316
54.00,1234.6626,66,1228.7905
68.00,1271.4497,78,1260.3845
78.00,1353.6788,68,1364.744
60.00,1342.2628,67,1336.293
67.00,1327.9469,60,1333.9167
60.00,1300.3143,62,1296.5641
62.00,1264.8934,60,1268.6437
75.00,1364.744,67,1369.4651
67.00,1310.8802,75,1306.1592
55.00,1268.6437,59,1263.6439
59.00,1228.7905,55,1233.7903
75.00,1336.293,72,1343.3895
72.00,1306.1592,75,1299.0626
55.00,1300.6316,68,1284.4366
68.00,1317.7588,55,1333.9537
58.00,1281.3928,60,1275.6881
60.00,1333.9167,58,1339.6215
72.00,1260.3845,87,1243.6194
87.00,1296.5641,72,1313.3292
64.00,1339.6215,60,1342.8893
60.00,1284.4366,64,1281.1688
65.00,1243.6194,79,1236.2073
79.00,1275.6881,65,1283.1002
60.00,1343.3895,57,1346.9624
57.00,1333.9537,60,1330.3809
49.00,1369.4651,40,1373.3796
40.00,1263.6439,49,1259.7294
56.00,1233.7903,66,1228.6831
66.00,1299.0626,56,1304.1698
47.00,1330.3809,49,1326.9114
49.00,1313.3292,47,1316.7987
44.00,1259.7294,46,1252.3871
46.00,1228.6831,44,1236.0254
68.00,1283.1002,76,1276.9966
76.00,1281.1688,68,1287.2725
57.00,1326.9114,70,1319.3087
70.00,1342.8893,57,1350.4919
57.00,1304.1698,46,1317.2023
46.00,1252.3871,57,1239.3546
80.00,1373.3796,62,1379.8049
62.00,1276.9966,80,1270.5713
61.00,1236.0254,65,1229.3071
65.00,1319.3087,61,1326.027
61.00,1317.2023,65,1306.269
65.00,1236.2073,61,1247.1405
51.00,1350.4919,62,1340.9235
62.00,1287.2725,51,1296.8409
55.00,1239.3546,66,1234.9664
66.00,1346.9624,55,1351.3506
65.00,1229.3071,90,1210.9467
90.00,1340.9235,65,1359.2839
86.00,1306.269,78,1312.6069
78.00,1316.7987,86,1310.4608
59.00,1270.5713,68,1256.0878
68.00,1247.1405,59,1261.624
47.00,1351.3506,57,1334.5652
57.00,1296.8409,47,1313.6263
64.00,1326.027,75,1320.2988
75.00,1379.8049,64,1385.5331
66.00,1313.6263,72,1308.3997
72.00,1310.4608,66,1315.6875
44.00,1210.9467,62,1206.0377
62.00,1359.2839,44,1364.1929
58.00,1234.9664,66,1225.3917
66.00,1320.2988,58,1329.8735
62.00,1334.5652,61,1339.8789
61.00,1315.6875,62,1310.3738
85.00,1308.3997,73,1322.4008
73.00,1261.624,85,1247.6229
79.00,1310.3738,88,1303.9496
88.00,1312.6069,79,1319.0311
68.00,1256.0878,83,1250.736
83.00,1364.1929,68,1369.5447
66.00,1329.8735,81,1322.9327
81.00,1385.5331,66,1392.4739
66.00,1322.9327,73,1313.9904
73.00,1206.0377,66,1214.9801
64.00,1392.4739,49,1407.4528
49.00,1322.4008,64,1307.4219
88.00,1319.0311,68,1343.2291
68.00,1339.8789,88,1315.6809
62.00,1225.3917,52,1240.7815
52.00,1247.6229,62,1232.2332
77.00,1214.9801,65,1226.2948
65.00,1307.4219,77,1296.1072
81.00,1250.736,66,1262.4368
66.00,1313.9904,81,1302.2896
52.00,1303.9496,72,1297.2839
72.00,1407.4528,52,1414.1184
84.00,1343.2291,75,1347.2114
75.00,1240.7815,84,1236.7992
52.00,1369.5447,70,1355.8319
70.00,1297.2839,52,1310.9967
46.00,1315.6809,50,1304.6824
50.00,1232.2332,46,1243.2317
55.00,1236.7992,66,1224.4557
66.00,1304.6824,55,1317.0259
78.00,1310.9967,62,1317.8322
62.00,1243.2317,78,1236.3962
49.00,1302.2896,57,1296.0708
57.00,1296.1072,49,1302.3259
56.00,1317.8322,53,1326.4893
53.00,1355.8319,56,1347.1748
68.00,1414.1184,47,1421.2426
47.00,1317.0259,68,1309.9017
74.00,1226.2948,76,1221.1678
76.00,1309.9017,74,1315.0287
58.00,1302.3259,44,1311.8464
44.00,1326.4893,58,1316.9688
81.00,1262.4368,77,1268.4114
77.00,1347.2114,81,1341.2368
70.00,1347.1748,74,1340.5975
74.00,1236.3962,70,1242.9735
63.00,1268.4114,61,1272.7605
61.00,1340.5975,63,1336.2484
68.00,1421.2426,56,1425.8375
56.00,1311.8464,68,1307.2515
95.00,1341.2368,92,1344.2667
92.00,1296.0708,95,1293.0409
78.00,1224.4557,74,1235.696
74.00,1316.9688,78,1305.7284
53.00,1221.1678,65,1216.1962
65.00,1315.0287,53,1320.0004
54.00,1216.1962,64,1209.8594
64.00,1235.696,54,1242.0328
53.00,1307.2515,46,1311.3928
46.00,1242.0328,53,1237.8915
66.00,1272.7605,78,1263.2903
78.00,1425.8375,66,1435.3077
51.00,1293.0409,55,1289.309
55.00,1320.0004,51,1323.7323
60.00,1209.8594,63,1204.3003
63.00,1311.3928,60,1316.9519
80.00,1242.9735,88,1233.9374
88.00,1344.2667,80,1353.3029
68.00,1204.3003,80,1198.3969
80.00,1263.2903,68,1269.1937
70.00,1435.3077,49,1442.3615
49.00,1336.2484,70,1329.1947
87.00,1353.3029,79,1364.1989
79.00,1305.7284,87,1294.8324
48.00,1289.309,52,1279.0566
52.00,1233.9374,48,1244.1897
68.00,1316.9519,75,1311.511
75.00,1323.7323,68,1329.1732
70.00,1442.3615,60,1448.0177
60.00,1198.3969,70,1192.7406
62.00,1311.511,60,1316.821
60.00,1237.8915,62,1232.5814
59.00,1294.8324,68,1282.6403
68.00,1329.1732,59,1341.3654
86.00,1244.1897,76,1255.3428
76.00,1364.1989,86,1353.0458
103.00,1341.3654,90,1359.0022
90.00,1353.0458,103,1335.4089
62.00,1279.0566,57,1287.9642
57.00,1448.0177,62,1439.1101
61.00,1282.6403,48,1297.225
48.00,1232.5814,61,1217.9967
72.00,1269.1937,84,1262.9604
84.00,1316.821,72,1323.0543
66.00,1359.0022,57,1368.0355
57.00,1439.1101,66,1430.0768
58.00,1192.7406,53,1204.3622
53.00,1255.3428,58,1243.7212
50.00,1287.9642,62,1273.708
62.00,1329.1947,50,1343.4509
74.00,1323.0543,78,1317.6265
