arr_delay,dep_delay,distance
-25,-6,762
-13,-8,502
145,134,1416
2,-4,1010
34,13,1620
-6,-6,502
-24,-8,431
12,-2,502
-6,-3,1076
-10,-4,1096
-2,-8,419
-5,-8,950
-26,-3,1080
7,-3,738
11,2,1416
-29,-7,96
-28,-5,1035
32,-2,1620
-14,-2,1096
-6,-4,1010
16,-3,502
-13,-5,762
27,-9,1147
0,-1,1080
48,0,1389
5,-2,762
-16,-4,1010
20,4,1416
12,0,762
-8,-11,419
-11,3,1096
0,-4,762
-23,-6,1096
-15,-1,544
10,-6,1020
10,-3,738
-6,-2,214
27,0,544
7,-2,1620
14,-1,733
4,3,1076
28,-3,1389
8,0,1020
-4,-7,544
-4,5,733
-6,1,1620
-11,-5,733
-14,-3,1076
-10,-6,1020
-8,-2,502
