dep_time,arr_delay,dep_delay,month
557,-14,-3,1
810,-28,-5,1
931,-1,1,1
1048,12,-2,1
1103,-11,3,1
857,-13,-8,1
1124,0,-1,1
800,8,0,1
956,0,-4,1
637,-5,-8,1
1059,-14,-1,1
629,14,-1,1
859,-24,-1,1
856,-10,-4,1
624,10,-6,1
936,-16,-4,1
753,-14,-2,1
1107,-5,-8,1
1123,34,13,1
724,31,-6,1
1028,11,2,1
533,20,4,1
602,16,-3,1
741,2,-4,1
824,2,-6,1
600,-7,0,1
805,-4,-10,1
822,-2,-8,1
858,-8,-2,1
659,-7,-1,1
656,27,-9,1
1058,-6,-2,1
1053,4,3,1
833,32,-2,1
732,2,3,1
739,-12,-6,1
754,-2,-5,1
959,-6,-3,1
658,5,-2,1
920,27,0,1
937,7,-3,1
1009,-10,-6,1
1056,-6,-4,1
1114,145,134,1
814,17,4,1
1109,-23,-6,1
835,20,0,1
659,-6,-6,1
1113,3,-2,1
1047,-6,-8,1
